Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,1052819,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,22.79594118,3.79932353,350939.66,607102.3,1051961,381,1052819,350939.66,607102.3,1051961,381,0,0.0,0.0,0,0,0,0,0,0,80,0,3.7993236,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,109047817,20,17,1748,3184,437,0,87.4,179.34102,796,0,187.29411,348.0409,45.2278655,0.339300694,3029106.0,4598846.0,10200000,29,103000000,5445705.0,5167205.5,10200000,23844,109000000,6814003.0,4708635.0,10200000,721,0,0,0,0,648,552,0.18340579,0.15589492,0,796,129.78947,268.03683,71843.734,0,0,0,1,0,0,0,0,0,133.2973,87.4,187.29411,0,0,0,0,0,0,20,1748,17,3184,29200,292,4,32,153996.6,411642.56,1325551,23471,10200000.0,63340.703,10200000,10000000,Benign
6,118729373,20,22,1248,18221,349,0,62.4,96.831055,2920,0,828.2273,858.7238,163.9779568,0.353745657,2895838.2,12700000.0,58800000,2,119000000,6248914.5,18400000.0,58800000,18,119000000,5649982.0,17600000.0,58900000,2,0,0,0,0,412,452,0.16845031,0.18529534,0,2920,452.76746,724.03894,524232.4,0,0,0,1,0,0,0,0,1,463.5476,62.4,828.2273,0,0,0,0,0,0,20,1248,22,18221,8192,131,19,20,878543.0,1129690.8,1677355,79731,58400000.0,490307.12,58800000,58100000,Benign
17,303,1,1,51,111,51,51,51.0,0.0,111,111,111.0,0.0,534653.4653,6600.660066,303.0,0.0,303,303,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,3300.33,3300.33,51,111,71.0,34.641018,1200.0,0,0,0,0,0,0,0,0,1,106.5,51.0,111.0,0,0,0,0,0,0,1,51,1,111,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,61157,2,2,78,330,39,39,39.0,0.0,165,165,165.0,0.0,6671.354056,65.40543192,20385.666,35302.95,61150,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,32.702717,32.702717,39,165,89.4,69.01304,4762.8,0,0,0,0,0,0,0,0,1,111.75,39.0,165.0,0,0,0,0,0,0,2,78,2,330,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,80090,2,2,62,94,31,31,31.0,0.0,47,47,47.0,0.0,1947.808715,49.94381321,26696.666,46233.92,80083,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,24.971907,24.971907,31,47,37.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,0,0,0,0,0,0,2,62,2,94,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,187,2,2,52,404,26,26,26.0,0.0,202,202,202.0,0.0,2438502.674,21390.37433,62.333332,102.76835,181,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,10695.1875,10695.1875,26,202,96.4,96.39917,9292.8,0,0,0,0,0,0,0,0,1,120.5,26.0,202.0,0,0,0,0,0,0,2,52,2,404,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,155955,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25.64842422,51985.0,89984.37,155890,17,155955,155955.0,0.0,155955,155955,48,48.0,0.0,48,48,0,0,0,0,40,40,12.824212,12.824212,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,33,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,81091137,8,6,56,11601,20,0,7.0,5.656854,4380,0,1933.5,1757.7899,143.7518381,0.172645255,6237780.0,20100000.0,72800000,16,80100000,11400000.0,27200000.0,72800000,221,984983,196996.6,426435.34,959584,16,0,0,0,0,172,132,0.098654434,0.07399082,0,4380,777.5333,1434.5717,2057995.9,0,0,0,0,1,0,0,0,0,833.0714,7.0,1933.5,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,2989.0,0.0,2989,2989,40100000.0,46300000.0,72800000,7295222,DDoS
17,79747916,2,2,96,240,49,47,48.0,1.4142135,175,65,120.0,77.781746,4.213276244,0.050158051,26600000.0,46000000.0,79700000,23722,79700000,79700000.0,0.0,79700000,79700000,79700000,79700000.0,0.0,79700000,79700000,0,0,0,0,72,64,0.025079025,0.025079025,47,175,77.0,55.26301,3054.0,0,0,0,0,0,0,0,0,1,96.25,48.0,120.0,0,0,0,0,0,0,2,96,2,240,-1,-1,1,32,48300.0,0.0,48300,48300,79700000.0,0.0,79700000,79700000,Benign
