payload,length,attack_type,label
uname -a2>&1rm -rf /tmp/test2>&1$HOME,37,cmdi,anom
id>rm -rf /tmp/test>$PATH,25,cmdi,anom
ps aux;rm -rf /tmp/test;$SHELL;whoami,37,cmdi,anom
uname -a||rm -rf /tmp/test,26,cmdi,anom
whoami|rm -rf /tmp/test|APPHOME=/tmp/malicious|id,49,cmdi,anom
whoami&&rm -rf /tmp/test&&$PWD,30,cmdi,anom
df -h|rm -rf /tmp/test|$PATH|id,31,cmdi,anom
ls<rm -rf /tmp/test<export PATH=/malicious/path<ps aux,54,cmdi,anom
ps aux&&rm -rf /tmp/test&&$USER,31,cmdi,anom
ps aux2>&1rm -rf /tmp/test,26,cmdi,anom
uname -a<rm -rf /tmp/test<export PATH=/malicious/path<whoami,60,cmdi,anom
df -h>rm -rf /tmp/test>$PATH,28,cmdi,anom
df -h2>&1rm -rf /tmp/test2>&1$PWD2>&1uname -a,45,cmdi,anom
df -h$(rm -rf /tmp/test$($USER$(ps aux,38,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$(export PATH=/malicious/path$(id,66,cmdi,anom
df -h;rm -rf /tmp/test;$HOME;id,31,cmdi,anom
ls$(rm -rf /tmp/test$($HOME,27,cmdi,anom
ls`rm -rf /tmp/test`$SHELL`whoami,33,cmdi,anom
ps aux$(rm -rf /tmp/test$(APPHOME=/tmp/malicious,48,cmdi,anom
ls&>rm -rf /tmp/test&>uname -a,30,cmdi,anom
ls||rm -rf /tmp/test,20,cmdi,anom
whoami&>rm -rf /tmp/test&>APPHOME=/tmp/malicious,48,cmdi,anom
ps aux||rm -rf /tmp/test||$HOME,31,cmdi,anom
cat /etc/passwd;rm -rf /tmp/test;df -h,38,cmdi,anom
ps aux;rm -rf /tmp/test;cat /etc/passwd,39,cmdi,anom
whoami>rm -rf /tmp/test>$USER,29,cmdi,anom
cat /etc/passwd;rm -rf /tmp/test,32,cmdi,anom
uname -a$(rm -rf /tmp/test$(ps aux,34,cmdi,anom
df -h>rm -rf /tmp/test>APPHOME=/tmp/malicious>ls,48,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||$USER||uname -a,50,cmdi,anom
whoami&&rm -rf /tmp/test&&$PATH&&ps aux,39,cmdi,anom
ps aux||rm -rf /tmp/test||cat /etc/passwd,41,cmdi,anom
uname -a|rm -rf /tmp/test|$SHELL,32,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path,59,cmdi,anom
